,expId,Compound,tempConfluenceDf
84,3,Droxinostat,31.55988<>35.59848<>41.34975<>48.08389<>54.24417<>63.96717<>69.19621<>78.34418<>81.43582<>87.12098<>89.87344<>92.98069<>95.97238<>99.04494<>99.69897<>99.90854<>99.98127<>100<>100<>100<>100<>100<>100<>100<>100
85,3,MK-2866 (GTx-024),44.24893<>47.2885<>54.14691<>62.53585<>70.81239<>80.81779<>87.28772<>93.47991<>97.78582<>98.95908<>99.53905<>99.84686<>99.96262<>99.97858<>99.97865<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
86,3,Tizanidine HCl,40.25958<>44.55929<>48.92316<>56.0034<>64.65896<>73.30577<>81.7184<>87.54255<>91.62638<>95.39331<>98.32242<>99.52067<>99.81473<>99.9781<>99.97823<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
87,3,Ritonavir,35.56242<>38.00935<>45.40644<>50.51655<>59.72411<>66.4017<>73.4828<>80.8821<>85.06485<>90.97306<>93.44572<>97.02047<>99.46769<>99.35261<>99.87911<>99.97575<>99.92304<>100<>100<>100<>100<>100<>100<>100<>100
88,3,Zonisamide,46.89585<>49.82288<>55.79099<>62.78859<>70.11396<>77.01067<>84.37486<>90.91207<>94.66167<>97.7908<>99.14179<>99.47571<>99.83249<>99.81258<>99.9734<>99.94445<>100<>100<>100<>100<>100<>100<>100<>100<>100
89,3,CUDC-101,46.09354<>49.32119<>53.15554<>53.76947<>62.95008<>70.13525<>76.8947<>82.63544<>84.01068<>82.71316<>83.30141<>81.66798<>80.83381<>76.28736<>77.30832<>77.27723<>76.52305<>76.60235<>77.41276<>78.84849<>79.90646<>82.53544<>86.16814<>88.70158<>92.40328
90,3,Zibotentan (ZD4054),37.19814<>38.90847<>45.95947<>51.50121<>59.54139<>64.7833<>76.60629<>80.89543<>84.41941<>90.14616<>95.2542<>98.23137<>98.58386<>99.8521<>99.90936<>99.93588<>99.9584<>100<>100<>100<>100<>100<>100<>100<>100
91,3,Dutasteride,39.12128<>39.62186<>47.34845<>56.15144<>58.52102<>65.77489<>73.85437<>82.84054<>88.05682<>91.57872<>96.73967<>98.72755<>99.57<>99.56709<>99.9812<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
92,3,Calcitriol,34.32285<>37.45772<>43.1252<>49.20534<>56.09811<>65.32278<>69.50533<>79.37811<>83.99465<>91.54466<>94.68935<>97.74597<>99.25094<>99.52958<>99.72665<>99.93969<>99.95461<>99.90716<>100<>100<>100<>100<>100<>100<>100
93,3,Imiquimod,34.61615<>37.19102<>42.16159<>47.73653<>54.9408<>59.75084<>67.19232<>70.86578<>80.89654<>88.0459<>91.67792<>95.3509<>97.9637<>98.72285<>99.5968<>99.98009<>100<>100<>100<>100<>100<>100<>100<>100<>100
94,3,SB525334,40.7682<>44.60427<>49.32685<>54.76851<>61.26065<>67.59725<>75.22919<>81.45557<>88.22591<>90.27927<>93.91909<>95.49223<>98.3066<>98.40834<>98.88234<>99.04232<>99.63367<>99.63928<>99.74075<>99.94659<>99.82993<>99.97512<>100<>100<>100
95,3,CO-1686 (AVL-301),35.83127<>38.05965<>44.035<>48.32973<>55.06536<>60.37135<>65.29893<>71.80241<>76.70439<>79.85976<>83.21162<>88.55589<>90.36705<>90.85211<>95.03937<>95.38274<>97.78017<>97.37413<>98.61791<>98.44081<>98.68022<>99.08715<>99.14587<>99.5465<>99.54305
96,3,WZ4003,40.45996<>43.52826<>48.69038<>56.43761<>63.00093<>74.24298<>77.65659<>85.02444<>90.19493<>90.51848<>97.74667<>99.04653<>99.47758<>99.90653<>99.90225<>100<>100<>100<>100<>100<>100<>100<>100<>100<>100
